last1,last2,diff1,miniChart,dir,swing,action
10035.163665187098,10034.331638914187,0.8320262729102978,UUUU,U,R-U,BUY
10028.129539506477,10035.163665187098,-7.034125680620491,UUUD,D,-,HOLD
10020.338250359877,10028.129539506477,-7.79128914660032,UUDD,D,S-D,SELL
10025.266716184806,10020.338250359877,4.928465824928935,UDDU,U,-,HOLD
10031.024519529537,10025.266716184806,5.757803344731656,DDUU,U,S-U,BUY
10035.270020831704,10031.024519529537,4.2455013021663035,DUUU,U,-,HOLD
10029.41512281911,10035.270020831704,-5.854898012594276,UUUD,D,-,HOLD
10020.86925104439,10029.41512281911,-8.545871774718762,UUDD,D,S-D,SELL
10012.961900392052,10020.86925104439,-7.907350652338209,UDDD,D,R-D,SELL
10020.642294235175,10012.961900392052,7.680393843122147,DDDU,U,-,HOLD
10019.609827523831,10020.642294235175,-1.032466711343659,DDUD,D,-,HOLD
10024.938236733731,10019.609827523831,5.328409209900201,DUDU,U,-,HOLD
10027.634820771325,10024.938236733731,2.6965840375942207,UDUU,U,-,HOLD
10032.535099492256,10027.634820771325,4.900278720930146,DUUU,U,-,HOLD
10038.903132836866,10032.535099492256,6.368033344610012,UUUU,U,R-U,BUY
10046.875052353613,10038.903132836866,7.971919516747221,UUUU,U,R-U,BUY
10041.10957106201,10046.875052353613,-5.765481291602555,UUUD,D,-,HOLD
10038.368719310094,10041.10957106201,-2.740851751916125,UUDD,D,S-D,SELL
10034.233315310094,10038.368719310094,-4.1354040000005625,UDDD,D,R-D,SELL
10029.921697510064,10034.233315310094,-4.311617800029126,DDDD,D,R-D,SELL
10028.717823153158,10029.921697510064,-1.2038743569064536,DDDD,D,R-D,SELL
10023.76409284674,10028.717823153158,-4.953730306417128,DDDD,D,R-D,SELL
10025.385293267698,10023.76409284674,1.6212004209573934,DDDU,U,-,HOLD
10032.41140172058,10025.385293267698,7.02610845288109,DDUU,U,S-U,BUY
10025.950256240603,10032.41140172058,-6.4611454799760395,DUUD,D,-,HOLD
10030.461651525131,10025.950256240603,4.51139528452768,UUDU,U,-,HOLD
10021.966455298061,10030.461651525131,-8.495196227069755,UDUD,D,-,HOLD
10031.637905343445,10021.966455298061,9.671450045383608,DUDU,U,-,HOLD
10025.631141650947,10031.637905343445,-6.0067636924977705,UDUD,D,-,HOLD
10022.661358988185,10025.631141650947,-2.969782662761645,DUDD,D,-,HOLD
10026.992750902682,10022.661358988185,4.331391914496635,UDDU,U,-,HOLD
10035.930924342649,10026.992750902682,8.938173439966704,DDUU,U,S-U,BUY
10044.885937563738,10035.930924342649,8.955013221089757,DUUU,U,-,HOLD
10038.999370451913,10044.885937563738,-5.8865671118255705,UUUD,D,-,HOLD
10042.560280788515,10038.999370451913,3.560910336602319,UUDU,U,-,HOLD
10041.568309284528,10042.560280788515,-0.9919715039868606,UDUD,D,-,HOLD
10036.93035860165,10041.568309284528,-4.6379506828779995,DUDD,D,-,HOLD
10034.844089834387,10036.93035860165,-2.086268767263391,UDDD,D,R-D,SELL
10029.25603989225,10034.844089834387,-5.588049942136422,DDDD,D,R-D,SELL
10032.625056213707,10029.25603989225,3.3690163214560016,DDDU,U,-,HOLD
10026.437204183438,10032.625056213707,-6.187852030268914,DDUD,D,-,HOLD
10021.495003758686,10026.437204183438,-4.942200424751718,DUDD,D,-,HOLD
10026.252190739397,10021.495003758686,4.757186980710685,UDDU,U,-,HOLD
10029.440391162694,10026.252190739397,3.1882004232975305,DDUU,U,S-U,BUY
10026.40613182927,10029.440391162694,-3.0342593334244157,DUUD,D,-,HOLD
10020.405418703269,10026.40613182927,-6.000713126000846,UUDD,D,S-D,SELL
10012.697935494334,10020.405418703269,-7.707483208934718,UDDD,D,R-D,SELL
10008.772083641737,10012.697935494334,-3.9258518525966792,DDDD,D,R-D,SELL
10002.895375254508,10008.772083641737,-5.876708387229883,DDDD,D,R-D,SELL
9994.600742387882,10002.895375254508,-8.294632866625761,DDDD,D,R-D,SELL
9996.085773200633,9994.600742387882,1.4850308127515746,DDDU,U,-,HOLD
10002.509388814819,9996.085773200633,6.42361561418511,DDUU,U,S-U,BUY
10007.596915866343,10002.509388814819,5.087527051524376,DUUU,U,-,HOLD
10006.697432879915,10007.596915866343,-0.8994829864277563,UUUD,D,-,HOLD
10012.144107838854,10006.697432879915,5.446674958939184,UUDU,U,-,HOLD
10017.288252272976,10012.144107838854,5.144144434121699,UDUU,U,-,HOLD
10011.143648334248,10017.288252272976,-6.1446039387283236,DUUD,D,-,HOLD
10001.63355929203,10011.143648334248,-9.51008904221817,UUDD,D,S-D,SELL
9993.552780596856,10001.63355929203,-8.080778695173649,UDDD,D,R-D,SELL
10001.420338772026,9993.552780596856,7.867558175170416,DDDU,U,-,HOLD
10009.90158176,10001.420338772026,8.481242987973019,DDUU,U,S-U,BUY
10009.031262518436,10009.90158176,-0.8703192415632657,DUUD,D,-,HOLD
10003.52030095755,10009.031262518436,-5.510961560885335,UUDD,D,S-D,SELL
10006.443681405253,10003.52030095755,2.923380447702584,UDDU,U,-,HOLD
10006.18027105773,10006.443681405253,-0.26341034752294945,DDUD,D,-,HOLD
10000.481729748848,10006.18027105773,-5.698541308882341,DUDD,D,-,HOLD
10001.676098696493,10000.481729748848,1.1943689476447616,UDDU,U,-,HOLD
9993.990703826772,10001.676098696493,-7.685394869720767,DDUD,D,-,HOLD
9991.615763855672,9993.990703826772,-2.374939971099593,DUDD,D,-,HOLD
9984.710238862743,9991.615763855672,-6.905524992929713,UDDD,D,R-D,SELL
9985.939152296098,9984.710238862743,1.2289134333550464,DDDU,U,-,HOLD
9991.010748266126,9985.939152296098,5.071595970028284,DDUU,U,S-U,BUY
9991.16743263151,9991.010748266126,0.15668436538362585,DUUU,U,-,HOLD
9982.325528618256,9991.16743263151,-8.841904013253952,UUUD,D,-,HOLD
9979.157246561299,9982.325528618256,-3.168282056956741,UUDD,D,S-D,SELL
9987.591538291468,9979.157246561299,8.434291730169207,UDDU,U,-,HOLD
9980.764537807121,9987.591538291468,-6.8270004843470815,DDUD,D,-,HOLD
9981.123042495446,9980.764537807121,0.3585046883254108,DUDU,U,-,HOLD
9981.848738346669,9981.123042495446,0.7256958512225538,UDUU,U,-,HOLD
9975.932850558647,9981.848738346669,-5.9158877880217915,DUUD,D,-,HOLD
9983.786860815955,9975.932850558647,7.854010257307891,UUDU,U,-,HOLD
9984.440465444406,9983.786860815955,0.6536046284509212,UDUU,U,-,HOLD
9991.616048582237,9984.440465444406,7.175583137830472,DUUU,U,-,HOLD
9998.649099730485,9991.616048582237,7.033051148247978,UUUU,U,R-U,BUY
9997.770101114595,9998.649099730485,-0.878998615889941,UUUD,D,-,HOLD
9997.458141972149,9997.770101114595,-0.3119591424456303,UUDD,D,S-D,SELL
9994.860497247797,9997.458141972149,-2.5976447243519942,UDDD,D,R-D,SELL
10003.881326573017,9994.860497247797,9.020829325219893,DDDU,U,-,HOLD
10010.34896728258,10003.881326573017,6.467640709563057,DDUU,U,S-U,BUY
10009.815254223728,10010.34896728258,-0.5337130588522996,DUUD,D,-,HOLD
10010.514036164775,10009.815254223728,0.6987819410478551,UUDU,U,-,HOLD
10014.288055399951,10010.514036164775,3.7740192351757287,UDUU,U,-,HOLD
10004.8508261168,10014.288055399951,-9.437229283150373,DUUD,D,-,HOLD
10006.046460081094,10004.8508261168,1.195633964292938,UUDU,U,-,HOLD
10014.680649348242,10006.046460081094,8.634189267148031,UDUU,U,-,HOLD
10023.128595278256,10014.680649348242,8.447945930014612,DUUU,U,-,HOLD
10032.36904846072,10023.128595278256,9.24045318246317,UUUU,U,R-U,BUY
10041.280743847552,10032.36904846072,8.911695386832434,UUUU,U,R-U,BUY
10047.893424133928,10041.280743847552,6.612680286376417,UUUU,U,R-U,BUY
10057.637045940612,10047.893424133928,9.743621806683223,UUUU,U,R-U,BUY
10067.184823492458,10057.637045940612,9.547777551846593,UUUU,U,R-U,BUY
10058.22400675341,10067.184823492458,-8.960816739048823,UUUD,D,-,HOLD
10063.534051815917,10058.22400675341,5.310045062507925,UUDU,U,-,HOLD
10054.371153060474,10063.534051815917,-9.162898755443166,UDUD,D,-,HOLD
10061.172773991577,10054.371153060474,6.801620931102661,DUDU,U,-,HOLD
10058.271647097392,10061.172773991577,-2.9011268941849266,UDUD,D,-,HOLD
10057.639923799894,10058.271647097392,-0.6317232974979561,DUDD,D,-,HOLD
10050.448170458329,10057.639923799894,-7.191753341565345,UDDD,D,R-D,SELL
10059.966449095746,10050.448170458329,9.518278637417097,DDDU,U,-,HOLD
10068.046898019567,10059.966449095746,8.080448923821677,DDUU,U,S-U,BUY
10062.433665808296,10068.046898019567,-5.613232211271679,DUUD,D,-,HOLD
10053.242533539416,10062.433665808296,-9.1911322688793,UUDD,D,S-D,SELL
10060.397972930805,10053.242533539416,7.155439391388427,UDDU,U,-,HOLD
10052.250709840593,10060.397972930805,-8.147263090211709,DDUD,D,-,HOLD
10059.48929490772,10052.250709840593,7.238585067127133,DUDU,U,-,HOLD
10061.050395249515,10059.48929490772,1.561100341794372,UDUU,U,-,HOLD
10058.25927819282,10061.050395249515,-2.7911170566949295,DUUD,D,-,HOLD
10062.661307863571,10058.25927819282,4.40202967075129,UUDU,U,-,HOLD
10053.78745386922,10062.661307863571,-8.87385399435152,UDUD,D,-,HOLD
10046.055291039103,10053.78745386922,-7.732162830116067,DUDD,D,-,HOLD
10044.745963880961,10046.055291039103,-1.3093271581419685,UDDD,D,R-D,SELL
10035.336443684817,10044.745963880961,-9.409520196144513,DDDD,D,R-D,SELL
10031.804218106487,10035.336443684817,-3.5322255783303262,DDDD,D,R-D,SELL
10022.223380988704,10031.804218106487,-9.580837117782721,DDDD,D,R-D,SELL
10013.088164944336,10022.223380988704,-9.135216044367553,DDDD,D,R-D,SELL
10021.548472396451,10013.088164944336,8.460307452114648,DDDU,U,-,HOLD
10015.302831129535,10021.548472396451,-6.245641266916209,DDUD,D,-,HOLD
10014.038400891613,10015.302831129535,-1.2644302379212604,DUDD,D,-,HOLD
10004.234004912687,10014.038400891613,-9.80439597892655,UDDD,D,R-D,SELL
10008.97862487852,10004.234004912687,4.744619965833408,DDDU,U,-,HOLD
10017.573043460636,10008.97862487852,8.594418582115395,DDUU,U,S-U,BUY
10017.748938991957,10017.573043460636,0.17589553132165747,DUUU,U,-,HOLD
10016.458918430248,10017.748938991957,-1.2900205617097527,UUUD,D,-,HOLD
10007.336897326515,10016.458918430248,-9.12202110373255,UUDD,D,S-D,SELL
10006.357736282076,10007.336897326515,-0.9791610444390244,UDDD,D,R-D,SELL
10004.505033194957,10006.357736282076,-1.8527030871191528,DDDD,D,R-D,SELL
10003.813527568738,10004.505033194957,-0.6915056262187136,DDDD,D,R-D,SELL
10010.057782278127,10003.813527568738,6.24425470938877,DDDU,U,-,HOLD
10002.446284213114,10010.057782278127,-7.611498065012711,DDUD,D,-,HOLD
10001.813038063483,10002.446284213114,-0.6332461496313044,DUDD,D,-,HOLD
10007.125010297252,10001.813038063483,5.311972233768756,UDDU,U,-,HOLD
10009.1562154709,10007.125010297252,2.031205173649141,DDUU,U,S-U,BUY
10015.757084232931,10009.1562154709,6.600868762030586,DUUU,U,-,HOLD
10016.198414428147,10015.757084232931,0.4413301952154143,UUUU,U,R-U,BUY
10008.273060546353,10016.198414428147,-7.925353881793853,UUUD,D,-,HOLD
10008.287513297282,10008.273060546353,0.014452750929194735,UUDU,U,-,HOLD
10005.369737270854,10008.287513297282,-2.917776026428328,UDUD,D,-,HOLD
10008.791328641595,10005.369737270854,3.4215913707412255,DUDU,U,-,HOLD
10014.97564310991,10008.791328641595,6.184314468315279,UDUU,U,-,HOLD
10017.817283748165,10014.97564310991,2.8416406382548303,DUUU,U,-,HOLD
10023.950627891167,10017.817283748165,6.133344143001523,UUUU,U,R-U,BUY
10025.903904189638,10023.950627891167,1.9532762984708825,UUUU,U,R-U,BUY
10017.922373046875,10025.903904189638,-7.981531142762833,UUUD,D,-,HOLD
10008.944801078977,10017.922373046875,-8.977571967898257,UUDD,D,S-D,SELL
10007.006177779387,10008.944801078977,-1.9386232995893806,UDDD,D,R-D,SELL
9997.572676181704,10007.006177779387,-9.433501597683062,DDDD,D,R-D,SELL
9997.169749012495,9997.572676181704,-0.4029271692088514,DDDD,D,R-D,SELL
10002.757538037798,9997.169749012495,5.587789025303209,DDDU,U,-,HOLD
9998.000283768459,10002.757538037798,-4.757254269339683,DDUD,D,-,HOLD
10002.37025853562,9998.000283768459,4.369974767161693,DUDU,U,-,HOLD
10008.221320673061,10002.37025853562,5.851062137440749,UDUU,U,-,HOLD
10017.704088507064,10008.221320673061,9.482767834002516,DUUU,U,-,HOLD
10018.366166451338,10017.704088507064,0.6620779442746425,UUUU,U,R-U,BUY
10018.380216302494,10018.366166451338,0.014049851155505166,UUUU,U,R-U,BUY
10027.358924158772,10018.380216302494,8.978707856278561,UUUU,U,R-U,BUY
10032.119228391564,10027.358924158772,4.760304232791896,UUUU,U,R-U,BUY
10023.56363064733,10032.119228391564,-8.555597744234547,UUUD,D,-,HOLD
10028.133441067697,10023.56363064733,4.569810420367503,UUDU,U,-,HOLD
10023.427134296422,10028.133441067697,-4.7063067712751945,UDUD,D,-,HOLD
10031.876711717843,10023.427134296422,8.449577421421054,DUDU,U,-,HOLD
10028.895533641122,10031.876711717843,-2.981178076721335,UDUD,D,-,HOLD
10021.474085583732,10028.895533641122,-7.42144805739008,DUDD,D,-,HOLD
10029.3935762159,10021.474085583732,7.919490632168163,UDDU,U,-,HOLD
10036.795976309102,10029.3935762159,7.402400093202232,DDUU,U,S-U,BUY
10032.798740255059,10036.795976309102,-3.997236054043242,DUUD,D,-,HOLD
10034.826824560743,10032.798740255059,2.028084305684388,UUDU,U,-,HOLD
10035.46832729621,10034.826824560743,0.6415027354669292,UDUU,U,-,HOLD
10036.529572767184,10035.46832729621,1.0612454709735175,DUUU,U,-,HOLD
10043.625597084905,10036.529572767184,7.096024317721458,UUUU,U,R-U,BUY
10044.73999000369,10043.625597084905,1.1143929187855974,UUUU,U,R-U,BUY
10052.121631669048,10044.73999000369,7.381641665357165,UUUU,U,R-U,BUY
10057.626567542711,10052.121631669048,5.504935873663271,UUUU,U,R-U,BUY
10050.897206173546,10057.626567542711,-6.729361369165417,UUUD,D,-,HOLD
10060.597038624002,10050.897206173546,9.699832450456597,UUDU,U,-,HOLD
10056.430424870536,10060.597038624002,-4.166613753466663,UDUD,D,-,HOLD
10064.326594061808,10056.430424870536,7.896169191271838,DUDU,U,-,HOLD
10073.945060853048,10064.326594061808,9.61846679124028,UDUU,U,-,HOLD
10077.268874119643,10073.945060853048,3.3238132665956073,DUUU,U,-,HOLD
10073.676939332585,10077.268874119643,-3.5919347870585625,UUUD,D,-,HOLD
10069.882810092155,10073.676939332585,-3.794129240430266,UUDD,D,S-D,SELL
10076.882922415665,10069.882810092155,7.000112323510621,UDDU,U,-,HOLD
10067.112093903765,10076.882922415665,-9.770828511900618,DDUD,D,-,HOLD
10058.183103813886,10067.112093903765,-8.928990089878425,DUDD,D,-,HOLD
10049.890388342941,10058.183103813886,-8.29271547094504,UDDD,D,R-D,SELL
10044.22821156058,10049.890388342941,-5.662176782361712,DDDD,D,R-D,SELL
10035.113137644203,10044.22821156058,-9.115073916376787,DDDD,D,R-D,SELL
10040.126513029183,10035.113137644203,5.013375384980463,DDDU,U,-,HOLD
10035.07193535776,10040.126513029183,-5.054577671422521,DDUD,D,-,HOLD
10038.578474976926,10035.07193535776,3.5065396191657783,DUDU,U,-,HOLD
10034.93614409105,10038.578474976926,-3.642330885875708,UDUD,D,-,HOLD
10029.53916928188,10034.93614409105,-5.396974809171297,DUDD,D,-,HOLD
10038.264469045615,10029.53916928188,8.725299763735165,UDDU,U,-,HOLD
10036.640436268483,10038.264469045615,-1.6240327771320153,DDUD,D,-,HOLD
10043.592730687622,10036.640436268483,6.9522944191394345,DUDU,U,-,HOLD
10049.395223413761,10043.592730687622,5.802492726139462,UDUU,U,-,HOLD
10059.32793756127,10049.395223413761,9.932714147507795,DUUU,U,-,HOLD
10055.704554235905,10059.32793756127,-3.623383325364557,UUUD,D,-,HOLD
10061.106847323894,10055.704554235905,5.402293087989165,UUDU,U,-,HOLD
10065.155724697015,10061.106847323894,4.048877373121286,UDUU,U,-,HOLD
10061.869042124403,10065.155724697015,-3.286682572612335,DUUD,D,-,HOLD
10070.657101616256,10061.869042124403,8.788059491853346,UUDU,U,-,HOLD
10076.848999339556,10070.657101616256,6.191897723299917,UDUU,U,-,HOLD
10078.13841218087,10076.848999339556,1.289412841313606,DUUU,U,-,HOLD
10074.321551470415,10078.13841218087,-3.8168607104544208,UUUD,D,-,HOLD
10073.920130303684,10074.321551470415,-0.40142116673087,UUDD,D,S-D,SELL
10066.631955743023,10073.920130303684,-7.288174560660991,UDDD,D,R-D,SELL
10066.95655934025,10066.631955743023,0.324603597226087,DDDU,U,-,HOLD
10060.808809444505,10066.95655934025,-6.14774989574471,DDUD,D,-,HOLD
10051.654835639338,10060.808809444505,-9.15397380516697,DUDD,D,-,HOLD
10057.222288637064,10051.654835639338,5.567452997725923,UDDU,U,-,HOLD
10056.78175268053,10057.222288637064,-0.44053595653349475,DDUD,D,-,HOLD
10060.084680202926,10056.78175268053,3.302927522396203,DUDU,U,-,HOLD
10065.626694347382,10060.084680202926,5.542014144455607,UDUU,U,-,HOLD
10057.929681872634,10065.626694347382,-7.69701247474768,DUUD,D,-,HOLD
10054.573046258362,10057.929681872634,-3.356635614272818,UUDD,D,S-D,SELL
10047.13961251967,10054.573046258362,-7.433433738691747,UDDD,D,R-D,SELL
10049.417512963926,10047.13961251967,2.2779004442563746,DDDU,U,-,HOLD
10042.131560724794,10049.417512963926,-7.285952239131802,DDUD,D,-,HOLD
10052.092010123542,10042.131560724794,9.960449398748096,DUDU,U,-,HOLD
10056.760646794499,10052.092010123542,4.668636670956403,UDUU,U,-,HOLD
10059.387259214098,10056.760646794499,2.6266124195990415,DUUU,U,-,HOLD
10055.46417837447,10059.387259214098,-3.9230808396278007,UUUD,D,-,HOLD
10051.53567729508,10055.46417837447,-3.9285010793901165,UUDD,D,S-D,SELL
10042.912555713749,10051.53567729508,-8.623121581331361,UDDD,D,R-D,SELL
10040.759794756917,10042.912555713749,-2.1527609568311163,DDDD,D,R-D,SELL
10034.144427412568,10040.759794756917,-6.615367344349579,DDDD,D,R-D,SELL
10028.467431739713,10034.144427412568,-5.6769956728549005,DDDD,D,R-D,SELL
10024.02767793025,10028.467431739713,-4.439753809463582,DDDD,D,R-D,SELL
10028.693276433023,10024.02767793025,4.665598502773719,DDDU,U,-,HOLD
10024.898701029502,10028.693276433023,-3.7945754035208665,DDUD,D,-,HOLD
10025.461318641148,10024.898701029502,0.5626176116456918,DUDU,U,-,HOLD
10033.792251058623,10025.461318641148,8.330932417475196,UDUU,U,-,HOLD
10042.391001987015,10033.792251058623,8.598750928391382,DUUU,U,-,HOLD
10038.2974283492,10042.391001987015,-4.093573637814188,UUUD,D,-,HOLD
10043.760422073023,10038.2974283492,5.462993723822365,UUDU,U,-,HOLD
10039.970475448918,10043.760422073023,-3.7899466241051414,UDUD,D,-,HOLD
10039.75800977772,10039.970475448918,-0.21246567119669635,DUDD,D,-,HOLD
10032.679832073189,10039.75800977772,-7.078177704532209,UDDD,D,R-D,SELL
10024.387244233692,10032.679832073189,-8.292587839496264,DDDD,D,R-D,SELL
10019.18279743649,10024.387244233692,-5.204446797202763,DDDD,D,R-D,SELL
10012.965112648522,10019.18279743649,-6.2176847879673005,DDDD,D,R-D,SELL
10007.757399860448,10012.965112648522,-5.207712788074787,DDDD,D,R-D,SELL
10016.12148866276,10007.757399860448,8.364088802312835,DDDU,U,-,HOLD
10025.712355674032,10016.12148866276,9.590867011271257,DDUU,U,S-U,BUY
10032.356604076083,10025.712355674032,6.644248402051744,DUUU,U,-,HOLD
10024.764467770425,10032.356604076083,-7.5921363056586415,UUUD,D,-,HOLD
10021.377822364922,10024.764467770425,-3.3866454055023496,UUDD,D,S-D,SELL
10028.981880571193,10021.377822364922,7.604058206270565,UDDU,U,-,HOLD
10028.804604573459,10028.981880571193,-0.17727599773388647,DDUD,D,-,HOLD
10031.070975872337,10028.804604573459,2.266371298877857,DUDU,U,-,HOLD
10029.968157411204,10031.070975872337,-1.1028184611332108,UDUD,D,-,HOLD
10036.184173436855,10029.968157411204,6.216016025651697,DUDU,U,-,HOLD
10030.509483136884,10036.184173436855,-5.674690299971189,UDUD,D,-,HOLD
10036.768620352634,10030.509483136884,6.259137215749433,DUDU,U,-,HOLD
10026.975013075047,10036.768620352634,-9.793607277586489,UDUD,D,-,HOLD
10024.702537869682,10026.975013075047,-2.272475205365481,DUDD,D,-,HOLD
10019.767720051188,10024.702537869682,-4.934817818493684,UDDD,D,R-D,SELL
10027.760764960336,10019.767720051188,7.993044909148011,DDDU,U,-,HOLD
10025.97013360736,10027.760764960336,-1.7906313529765612,DDUD,D,-,HOLD
10030.496760888376,10025.97013360736,4.526627281016772,DUDU,U,-,HOLD
10024.84305624627,10030.496760888376,-5.653704642105367,UDUD,D,-,HOLD
10018.213080663,10024.84305624627,-6.629975583271516,DUDD,D,-,HOLD
10026.061737892474,10018.213080663,7.848657229475066,UDDU,U,-,HOLD
10024.627592211747,10026.061737892474,-1.4341456807269424,DDUD,D,-,HOLD
10032.479775486852,10024.627592211747,7.852183275104835,DUDU,U,-,HOLD
10025.247718794057,10032.479775486852,-7.232056692795595,UDUD,D,-,HOLD
10034.91487273907,10025.247718794057,9.667153945012615,DUDU,U,-,HOLD
10029.378210725868,10034.91487273907,-5.536662013200839,UDUD,D,-,HOLD
10029.838871872384,10029.378210725868,0.4606611465151218,DUDU,U,-,HOLD
10037.929590586893,10029.838871872384,8.090718714509421,UDUU,U,-,HOLD
10028.341472123619,10037.929590586893,-9.58811846327444,DUUD,D,-,HOLD
10019.878857264022,10028.341472123619,-8.462614859596215,UUDD,D,S-D,SELL
10016.175951406965,10019.878857264022,-3.702905857056976,UDDD,D,R-D,SELL
10017.688584451556,10016.175951406965,1.5126330445909844,DDDU,U,-,HOLD
10026.272805220577,10017.688584451556,8.584220769020249,DDUU,U,S-U,BUY
10022.092688371222,10026.272805220577,-4.1801168493548175,DUUD,D,-,HOLD
10030.894934470985,10022.092688371222,8.802246099763579,UUDU,U,-,HOLD
10033.067323575997,10030.894934470985,2.1723891050114617,UDUU,U,-,HOLD
10024.462912338717,10033.067323575997,-8.604411237280146,DUUD,D,-,HOLD
10033.4006085568,10024.462912338717,8.937696218083147,UUDU,U,-,HOLD
10023.616899791627,10033.4006085568,-9.783708765173287,UDUD,D,-,HOLD
10025.608737880484,10023.616899791627,1.9918380888575484,DUDU,U,-,HOLD
10021.29010759416,10025.608737880484,-4.318630286323241,UDUD,D,-,HOLD
10022.193169712225,10021.29010759416,0.9030621180645539,DUDU,U,-,HOLD
10018.027017315106,10022.193169712225,-4.166152397119731,UDUD,D,-,HOLD
10016.074993592349,10018.027017315106,-1.952023722757076,DUDD,D,-,HOLD
10007.418167755251,10016.074993592349,-8.65682583709713,UDDD,D,R-D,SELL
10016.02778027557,10007.418167755251,8.609612520318478,DDDU,U,-,HOLD
